[127, 682]
[134, 739]
[142, 548]
[153, 491]
[161, 678]
[164, 757]
[174, 402]
[181, 969]
[182, 754]
[189, 733]
[193, 469]
[194, 1060]
[199, 1033]
[207, 583]
[208, 857]
[210, 524]
[222, 840]
[228, 431]
[234, 532]
[239, 937]
[243, 513]
[256, 595]
[259, 862]
[270, 220]
[274, 886]
[283, 324]
[294, 933]
[302, 1043]
[305, 977]
[317, 1029]
[327, 825]
[329, 791]
[331, 1120]
[334, 1151]
[336, 1160]
[396, 923]
[405, 919]
[409, 973]
[413, 574]
[415, 873]
[431, 696]
[447, 1230]
[465, 1171]
[469, 781]
[489, 745]
[498, 1181]
[504, 1143]
[508, 967]
[525, 654]
[528, 667]
[530, 891]
[531, 882]
[547, 898]
[554, 1027]
[555, 987]
[568, 315]
[582, 1041]
[589, 1124]
[628, 903]
[629, 678]
[634, 1028]
[650, 422]
[721, 908]
[725, 968]
[734, 895]
[740, 981]
[745, 277]
[768, 874]
[786, 620]
[793, 775]
[802, 693]
[805, 708]
[829, 479]
