[14, 565]
[22, 294]
[89, 782]
[94, 811]
[144, 471]
[145, 463]
[146, 371]
[187, 182]
[201, 781]
[238, 675]
[242, 586]
[252, 456]
[257, 841]
[261, 128]
[268, 73]
[282, 383]
[289, 467]
[296, 221]
[303, 467]
[309, 20]
[312, 868]
[318, 546]
[320, 158]
[334, 288]
[338, 255]
[340, 239]
[341, 437]
[346, 64]
[353, 255]
[366, 239]
[379, 376]
[380, 354]
[388, 457]
[391, 975]
[400, 334]
[405, 47]
[410, 669]
[427, 284]
[444, 426]
[455, 284]
[494, 907]
[508, 218]
[517, 572]
[536, 476]
[550, 782]
[551, 585]
[560, 437]
[568, 500]
[628, 380]
[638, 560]
[640, 595]
[648, 461]
